0,1
1,14
1,84
2,3
3,4
3,40
3,62
3,102
3,127
4,26
4,92
5,6
5,149
5,17
5,16
7,8
8,7
8,13
8,18
8,19
9,8
9,12
9,85
9,5
10,8
10,12
10,5
11,12
12,25
12,11
13,14
14,15
16,15
16,28
16,27
17,15
18,21
18,45
18,67
18,110
18,135
19,20
20,21
20,88
21,22
22,24
23,24
23,90
24,31
24,55
25,82
27,26
27,32
28,26
28,35
28,38
28,29
29,30
29,52
29,42
29,36
32,33
32,78
32,82
32,79
34,35
35,34
35,39
35,43
36,35
36,38
36,41
36,29
37,38
38,37
38,53
39,40
40,41
42,41
42,59
42,56
43,44
44,45
45,46
46,48
47,48
47,69
47,109
47,134
48,49
49,50
50,51
51,37
53,54
53,74
54,55
56,57
56,77
56,64
56,60
58,59
59,58
59,61
59,65
60,59
60,63
60,56
61,62
62,63
64,63
64,32
65,66
66,67
67,68
68,69
68,71
69,72
70,71
70,112
70,137
71,76
72,73
73,74
74,75
75,76
79,80
79,148
79,86
79,9
81,82
82,84
82,87
82,81
83,82
83,92
83,147
83,79
84,85
86,85
86,93
86,83
87,88
87,107
87,132
88,89
89,90
90,91
90,120
93,92
93,97
93,100
93,94
94,95
94,118
94,104
94,98
96,97
97,96
97,101
97,105
98,97
98,100
98,103
98,94
99,100
100,99
100,119
100,142
101,102
102,103
104,103
104,124
104,121
105,106
106,107
106,110
107,108
108,109
109,115
110,111
111,112
112,113
113,114
114,117
115,116
116,117
117,99
119,120
121,122
121,146
121,129
121,125
123,124
124,123
124,126
124,130
125,124
125,128
125,121
126,127
127,128
129,128
129,83
130,131
131,132
131,135
132,133
133,134
134,138
134,145
135,136
136,137
137,140
138,139
138,145
139,143
140,141
141,142
142,143
143,144
144,145
0,1
1,4
2,3
3,14
4,5
4,26
4,58
5,6
6,18
7,8
7,68
7,17
7,16
9,11
9,13
10,9
10,7
11,9
12,9
12,18
12,67
12,7
13,14
14,15
16,15
17,15
17,19
17,12
19,18
19,23
19,20
20,21
20,53
20,28
20,24
22,23
22,43
23,25
23,22
23,31
23,32
24,23
24,27
24,20
25,26
26,27
28,27
28,55
28,29
29,30
29,66
29,60
29,56
31,39
31,51
32,33
33,34
34,36
35,36
35,39
35,44
35,64
36,37
37,38
38,42
39,40
40,41
41,42
42,47
43,44
44,45
45,46
46,47
47,48
48,49
49,52
50,51
50,62
51,52
54,55
55,57
55,54
55,61
56,55
56,59
56,29
57,58
58,59
60,59
60,12
61,62
61,64
62,63
63,65
64,65
0,1
1,27
1,47
1,65
2,3
3,7
3,88
4,5
5,6
5,75
6,8
7,8
8,19
9,10
9,86
9,22
9,21
11,13
11,19
12,11
12,15
12,17
